,username,repo_name,stars,repo_url
0,mrdoob,three.js,96600,https://github.com/mrdoob/three.js
1,pmndrs,react-three-fiber,24900,https://github.com/pmndrs/react-three-fiber
2,libgdx,libgdx,22300,https://github.com/libgdx/libgdx
3,BabylonJS,Babylon.js,21900,https://github.com/BabylonJS/Babylon.js
4,ssloy,tinyrenderer,18600,https://github.com/ssloy/tinyrenderer
5,lettier,3d-game-shaders-for-beginners,16500,https://github.com/lettier/3d-game-shaders-for-beginners
6,FreeCAD,FreeCAD,16100,https://github.com/FreeCAD/FreeCAD
7,aframevr,aframe,15900,https://github.com/aframevr/aframe
8,CesiumGS,cesium,11400,https://github.com/CesiumGS/cesium
9,blender,blender,10500,https://github.com/blender/blender
10,MonoGame,MonoGame,10400,https://github.com/MonoGame/MonoGame
11,metafizzy,zdog,10100,https://github.com/metafizzy/zdog
12,isl-org,Open3D,9900,https://github.com/isl-org/Open3D
13,timzhang642,3D-Machine-Learning,9300,https://github.com/timzhang642/3D-Machine-Learning
14,a1studmuffin,SpaceshipGenerator,7500,https://github.com/a1studmuffin/SpaceshipGenerator
15,nerfstudio-project,nerfstudio,7400,https://github.com/nerfstudio-project/nerfstudio
16,domlysz,BlenderGIS,7000,https://github.com/domlysz/BlenderGIS
17,FyroxEngine,Fyrox,6800,https://github.com/FyroxEngine/Fyrox
18,google,model-viewer,6200,https://github.com/google/model-viewer
19,openscad,openscad,6100,https://github.com/openscad/openscad
