,username,repo_name,stars,repo_url
0,public-apis,public-apis,274000,https://github.com/public-apis/public-apis
1,neovim,neovim,72300,https://github.com/neovim/neovim
2,tiangolo,fastapi,66500,https://github.com/tiangolo/fastapi
3,strapi,strapi,58100,https://github.com/strapi/strapi
4,hoppscotch,hoppscotch,57800,https://github.com/hoppscotch/hoppscotch
5,ocornut,imgui,52900,https://github.com/ocornut/imgui
6,slatedocs,slate,35600,https://github.com/slatedocs/slate
7,Kong,insomnia,31800,https://github.com/Kong/insomnia
8,httpie,cli,30600,https://github.com/httpie/cli
9,hasura,graphql-engine,30600,https://github.com/hasura/graphql-engine
10,Binaryify,NeteaseCloudMusicApi,30000,https://github.com/Binaryify/NeteaseCloudMusicApi
11,ccxt,ccxt,30000,https://github.com/ccxt/ccxt
12,encode,django-rest-framework,26900,https://github.com/encode/django-rest-framework
13,YMFE,yapi,26800,https://github.com/YMFE/yapi
14,StanGirard,quivr,26700,https://github.com/StanGirard/quivr
15,littlecodersh,ItChat,24600,https://github.com/littlecodersh/ItChat
16,directus,directus,24200,https://github.com/directus/directus
17,microsoft,api-guidelines,22200,https://github.com/microsoft/api-guidelines
18,shieldfy,API-Security-Checklist,21700,https://github.com/shieldfy/API-Security-Checklist
19,paularmstrong,normalizr,21000,https://github.com/paularmstrong/normalizr
