,username,repo_name,stars,repo_url
0,bitwarden,server,13700,https://github.com/bitwarden/server
1,dotnet,AspNetCore.Docs,12100,https://github.com/dotnet/AspNetCore.Docs
2,abpframework,abp,11900,https://github.com/abpframework/abp
3,aspnetboilerplate,aspnetboilerplate,11400,https://github.com/aspnetboilerplate/aspnetboilerplate
4,nopSolutions,nopCommerce,8700,https://github.com/nopSolutions/nopCommerce
5,ElectronNET,Electron.NET,7000,https://github.com/ElectronNET/Electron.NET
6,thangchung,clean-code-dotnet,6600,https://github.com/thangchung/clean-code-dotnet
7,RicoSuter,NSwag,6200,https://github.com/RicoSuter/NSwag
8,FastEndpoints,FastEndpoints,3500,https://github.com/FastEndpoints/FastEndpoints
9,dotnet,aspnet-api-versioning,2900,https://github.com/dotnet/aspnet-api-versioning
10,smartstore,SmartStoreNET,2600,https://github.com/smartstore/SmartStoreNET
11,serenity-is,Serenity,2500,https://github.com/serenity-is/Serenity
12,mjebrahimi,Awesome-Microservices-DotNet,2500,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
13,JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor
14,loic-sharma,BaGet,2400,https://github.com/loic-sharma/BaGet
15,TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
16,TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
17,MarimerLLC,csla,1200,https://github.com/MarimerLLC/csla
18,smartstore,Smartstore,953,https://github.com/smartstore/Smartstore
19,antonioCoco,SharPyShell,830,https://github.com/antonioCoco/SharPyShell
