,username,repo_name,stars,repo_url
0,jwasham,coding-interview-university,274000,https://github.com/jwasham/coding-interview-university
1,trekhleb,javascript-algorithms,179000,https://github.com/trekhleb/javascript-algorithms
2,TheAlgorithms,Python,174000,https://github.com/TheAlgorithms/Python
3,CyC2018,CS-Notes,170000,https://github.com/CyC2018/CS-Notes
4,yangshun,tech-interview-handbook,104000,https://github.com/yangshun/tech-interview-handbook
5,kdn251,interviews,60800,https://github.com/kdn251/interviews
6,krahets,hello-algo,57700,https://github.com/krahets/hello-algo
7,TheAlgorithms,Java,55200,https://github.com/TheAlgorithms/Java
8,azl397985856,leetcode,53100,https://github.com/azl397985856/leetcode
9,algorithm-visualizer,algorithm-visualizer,45600,https://github.com/algorithm-visualizer/algorithm-visualizer
10,youngyangyang04,leetcode-master,44400,https://github.com/youngyangyang04/leetcode-master
11,huihut,interview,31600,https://github.com/huihut/interview
12,halfrost,LeetCode-Go,31200,https://github.com/halfrost/LeetCode-Go
13,TheAlgorithms,JavaScript,30100,https://github.com/TheAlgorithms/JavaScript
14,donnemartin,interactive-coding-challenges,28200,https://github.com/donnemartin/interactive-coding-challenges
15,TheAlgorithms,C-Plus-Plus,27500,https://github.com/TheAlgorithms/C-Plus-Plus
16,crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout
17,keon,algorithms,23200,https://github.com/keon/algorithms
18,mxgmn,WaveFunctionCollapse,22300,https://github.com/mxgmn/WaveFunctionCollapse
19,trekhleb,homemade-machine-learning,22200,https://github.com/trekhleb/homemade-machine-learning
