,username,repo_name,stars,repo_url
0,amphp,amp,4100,https://github.com/amphp/amp
1,danog,MadelineProto,2600,https://github.com/danog/MadelineProto
2,unreal4u,telegram-api,772,https://github.com/unreal4u/telegram-api
3,amphp,parallel,710,https://github.com/amphp/parallel
4,amphp,http-client,678,https://github.com/amphp/http-client
5,amphp,byte-stream,351,https://github.com/amphp/byte-stream
6,php-service-bus,service-bus,346,https://github.com/php-service-bus/service-bus
7,amphp,mysql,333,https://github.com/amphp/mysql
8,amphp,parallel-functions,263,https://github.com/amphp/parallel-functions
9,amphp,process,222,https://github.com/amphp/process
10,xtrime-ru,TelegramRSS,203,https://github.com/xtrime-ru/TelegramRSS
11,amphp,socket,203,https://github.com/amphp/socket
12,amphp,sync,150,https://github.com/amphp/sync
13,amphp,redis,145,https://github.com/amphp/redis
14,amphp,dns,143,https://github.com/amphp/dns
15,amphp,websocket-client,128,https://github.com/amphp/websocket-client
16,kelunik,acme,121,https://github.com/kelunik/acme
17,amphp,websocket-server,108,https://github.com/amphp/websocket-server
18,amphp,serialization,103,https://github.com/amphp/serialization
19,amphp,cache,92,https://github.com/amphp/cache
