,username,repo_name,stars,repo_url
0,flutter,flutter,159000,https://github.com/flutter/flutter
1,facebook,react-native,114000,https://github.com/facebook/react-native
2,justjavac,free-programming-books-zh_CN,107000,https://github.com/justjavac/free-programming-books-zh_CN
3,Genymobile,scrcpy,96300,https://github.com/Genymobile/scrcpy
4,Hack-with-Github,Awesome-Hacking,72900,https://github.com/Hack-with-Github/Awesome-Hacking
5,Solido,awesome-flutter,49700,https://github.com/Solido/awesome-flutter
6,google,material-design-icons,49200,https://github.com/google/material-design-icons
7,wasabeef,awesome-android-ui,48200,https://github.com/wasabeef/awesome-android-ui
8,square,okhttp,44900,https://github.com/square/okhttp
9,android,architecture-samples,43400,https://github.com/android/architecture-samples
10,square,retrofit,42300,https://github.com/square/retrofit
11,laurent22,joplin,40100,https://github.com/laurent22/joplin
12,dcloudio,uni-app,39000,https://github.com/dcloudio/uni-app
13,appwrite,appwrite,38700,https://github.com/appwrite/appwrite
14,fastlane,fastlane,38300,https://github.com/fastlane/fastlane
15,skylot,jadx,37700,https://github.com/skylot/jadx
16,PhilJay,MPAndroidChart,37100,https://github.com/PhilJay/MPAndroidChart
17,airbnb,lottie-android,34400,https://github.com/airbnb/lottie-android
18,shadowsocks,shadowsocks-android,34400,https://github.com/shadowsocks/shadowsocks-android
19,bumptech,glide,34100,https://github.com/bumptech/glide
