,username,repo_name,stars,repo_url
0,justjavac,free-programming-books-zh_CN,107000,https://github.com/justjavac/free-programming-books-zh_CN
1,angular,angular,93000,https://github.com/angular/angular
2,storybookjs,storybook,81400,https://github.com/storybookjs/storybook
3,leonardomso,33-js-concepts,60200,https://github.com/leonardomso/33-js-concepts
4,ionic-team,ionic-framework,49900,https://github.com/ionic-team/ionic-framework
5,prettier,prettier,47500,https://github.com/prettier/prettier
6,Asabeneh,30-Days-Of-JavaScript,39800,https://github.com/Asabeneh/30-Days-Of-JavaScript
7,SheetJS,sheetjs,34100,https://github.com/SheetJS/sheetjs
8,angular,angular-cli,26400,https://github.com/angular/angular-cli
9,angular,components,23900,https://github.com/angular/components
10,NativeScript,NativeScript,23300,https://github.com/NativeScript/NativeScript
11,goldbergyoni,javascript-testing-best-practices,22900,https://github.com/goldbergyoni/javascript-testing-best-practices
12,jhipster,generator-jhipster,21100,https://github.com/jhipster/generator-jhipster
13,nrwl,nx,20600,https://github.com/nrwl/nx
14,wailsapp,wails,20100,https://github.com/wailsapp/wails
15,pubkey,rxdb,20000,https://github.com/pubkey/rxdb
16,sudheerj,javascript-interview-questions,19800,https://github.com/sudheerj/javascript-interview-questions
17,teambit,bit,17200,https://github.com/teambit/bit
18,sweetalert2,sweetalert2,16500,https://github.com/sweetalert2/sweetalert2
19,jasontaylordev,CleanArchitecture,14600,https://github.com/jasontaylordev/CleanArchitecture
