,username,repo_name,stars,repo_url
0,bregman-arie,devops-exercises,60200,https://github.com/bregman-arie/devops-exercises
1,ansible,ansible,59800,https://github.com/ansible/ansible
2,trailofbits,algo,27900,https://github.com/trailofbits/algo
3,MichaelCade,90DaysOfDevOps,24500,https://github.com/MichaelCade/90DaysOfDevOps
4,StreisandEffect,streisand,23000,https://github.com/StreisandEffect/streisand
5,kubernetes-sigs,kubespray,14900,https://github.com/kubernetes-sigs/kubespray
6,ansible,awx,13000,https://github.com/ansible/awx
7,easzlab,kubeasz,9800,https://github.com/easzlab/kubeasz
8,ansible-semaphore,semaphore,8500,https://github.com/ansible-semaphore/semaphore
9,geerlingguy,ansible-for-devops,7700,https://github.com/geerlingguy/ansible-for-devops
10,khuedoan,homelab,7400,https://github.com/khuedoan/homelab
11,Tikam02,DevOps-Guide,7400,https://github.com/Tikam02/DevOps-Guide
12,netbootxyz,netboot.xyz,6800,https://github.com/netbootxyz/netboot.xyz
13,geerlingguy,mac-dev-playbook,5600,https://github.com/geerlingguy/mac-dev-playbook
14,rundeck,rundeck,5200,https://github.com/rundeck/rundeck
15,KubeOperator,KubeOperator,4900,https://github.com/KubeOperator/KubeOperator
16,clong,DetectionLab,4400,https://github.com/clong/DetectionLab
17,ansible,molecule,3700,https://github.com/ansible/molecule
18,opendevops-cn,opendevops,3500,https://github.com/opendevops-cn/opendevops
19,dev-sec,ansible-collection-hardening,3500,https://github.com/dev-sec/ansible-collection-hardening
