,username,repo_name,stars,repo_url
0,arendst,Tasmota,20800,https://github.com/arendst/Tasmota
1,MarlinFirmware,Marlin,15600,https://github.com/MarlinFirmware/Marlin
2,tinygo-org,tinygo,13900,https://github.com/tinygo-org/tinygo
3,arduino,Arduino,13900,https://github.com/arduino/Arduino
4,rwaldron,johnny-five,13100,https://github.com/rwaldron/johnny-five
5,SpacehuhnTech,esp8266_deauther,12500,https://github.com/SpacehuhnTech/esp8266_deauther
6,espressif,arduino-esp32,11900,https://github.com/espressif/arduino-esp32
7,gurugio,lowlevelprogramming-university,9200,https://github.com/gurugio/lowlevelprogramming-university
8,hybridgroup,gobot,8600,https://github.com/hybridgroup/gobot
9,platformio,platformio-core,7300,https://github.com/platformio/platformio-core
10,bblanchon,ArduinoJson,6400,https://github.com/bblanchon/ArduinoJson
11,tzapu,WiFiManager,6100,https://github.com/tzapu/WiFiManager
12,olikraus,u8g2,4500,https://github.com/olikraus/u8g2
13,Arduino-IRremote,Arduino-IRremote,4200,https://github.com/Arduino-IRremote/Arduino-IRremote
14,ClemensElflein,OpenMower,4200,https://github.com/ClemensElflein/OpenMower
15,arduino,arduino-cli,4100,https://github.com/arduino/arduino-cli
16,hybridgroup,cylon,4000,https://github.com/hybridgroup/cylon
17,Serial-Studio,Serial-Studio,3800,https://github.com/Serial-Studio/Serial-Studio
18,blynkkk,blynk-library,3800,https://github.com/blynkkk/blynk-library
19,justcallmekoko,ESP32Marauder,3700,https://github.com/justcallmekoko/ESP32Marauder
