,username,repo_name,stars,repo_url
0,sindresorhus,awesome,284000,https://github.com/sindresorhus/awesome
1,vinta,awesome-python,193000,https://github.com/vinta/awesome-python
2,awesome-selfhosted,awesome-selfhosted,163000,https://github.com/awesome-selfhosted/awesome-selfhosted
3,trimstray,the-book-of-secret-knowledge,117000,https://github.com/trimstray/the-book-of-secret-knowledge
4,avelino,awesome-go,114000,https://github.com/avelino/awesome-go
5,521xueweihan,HelloGitHub,80500,https://github.com/521xueweihan/HelloGitHub
6,papers-we-love,papers-we-love,79800,https://github.com/papers-we-love/papers-we-love
7,Hack-with-Github,Awesome-Hacking,72900,https://github.com/Hack-with-Github/Awesome-Hacking
8,jaywcjlove,awesome-mac,67300,https://github.com/jaywcjlove/awesome-mac
9,DopplerHQ,awesome-interview-questions,61400,https://github.com/DopplerHQ/awesome-interview-questions
10,MunGell,awesome-for-beginners,60200,https://github.com/MunGell/awesome-for-beginners
11,enaqx,awesome-react,60000,https://github.com/enaqx/awesome-react
12,sindresorhus,awesome-nodejs,54200,https://github.com/sindresorhus/awesome-nodejs
13,fffaraz,awesome-cpp,52500,https://github.com/fffaraz/awesome-cpp
14,prakhar1989,awesome-courses,51700,https://github.com/prakhar1989/awesome-courses
15,binhnguyennus,awesome-scalability,50300,https://github.com/binhnguyennus/awesome-scalability
16,Solido,awesome-flutter,49700,https://github.com/Solido/awesome-flutter
17,wasabeef,awesome-android-ui,48200,https://github.com/wasabeef/awesome-android-ui
18,vsouza,awesome-ios,44800,https://github.com/vsouza/awesome-ios
19,tiimgreen,github-cheat-sheet,43800,https://github.com/tiimgreen/github-cheat-sheet
