,username,repo_name,stars,repo_url
0,bregman-arie,devops-exercises,60200,https://github.com/bregman-arie/devops-exercises
1,microsoft,generative-ai-for-beginners,21300,https://github.com/microsoft/generative-ai-for-beginners
2,pulumi,pulumi,18600,https://github.com/pulumi/pulumi
3,recommenders-team,recommenders,16900,https://github.com/recommenders-team/recommenders
4,getsops,sops,14500,https://github.com/getsops/sops
5,ramitsurana,awesome-kubernetes,14500,https://github.com/ramitsurana/awesome-kubernetes
6,Azure,azure-quickstart-templates,13500,https://github.com/Azure/azure-quickstart-templates
7,caprover,caprover,11500,https://github.com/caprover/caprover
8,infracost,infracost,9800,https://github.com/infracost/infracost
9,google,go-cloud,9300,https://github.com/google/go-cloud
10,microsoft,computervision-recipes,9200,https://github.com/microsoft/computervision-recipes
11,prowler-cloud,prowler,9000,https://github.com/prowler-cloud/prowler
12,microsoft,azuredatastudio,7300,https://github.com/microsoft/azuredatastudio
13,Netflix,metaflow,7300,https://github.com/Netflix/metaflow
14,midwayjs,midway,7000,https://github.com/midwayjs/midway
15,node-formidable,formidable,6900,https://github.com/node-formidable/formidable
16,milanm,DevOps-Roadmap,6800,https://github.com/milanm/DevOps-Roadmap
17,thangchung,clean-code-dotnet,6600,https://github.com/thangchung/clean-code-dotnet
18,budtmo,docker-android,6600,https://github.com/budtmo/docker-android
19,aquasecurity,tfsec,6400,https://github.com/aquasecurity/tfsec
