,username,repo_name,stars,repo_url
0,babel,babel,42700,https://github.com/babel/babel
1,swc-project,swc,29200,https://github.com/swc-project/swc
2,nylas,nylas-mail,24800,https://github.com/nylas/nylas-mail
3,electron-react-boilerplate,electron-react-boilerplate,22200,https://github.com/electron-react-boilerplate/electron-react-boilerplate
4,SimulatedGREG,electron-vue,15400,https://github.com/SimulatedGREG/electron-vue
5,grab,front-end-guide,15000,https://github.com/grab/front-end-guide
6,jamiebuilds,babel-handbook,11900,https://github.com/jamiebuilds/babel-handbook
7,developit,htm,8400,https://github.com/developit/htm
8,grommet,grommet,8300,https://github.com/grommet/grommet
9,ben-rogerson,twin.macro,7700,https://github.com/ben-rogerson/twin.macro
10,angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
11,fkling,astexplorer,5800,https://github.com/fkling/astexplorer
12,documentationjs,documentation,5800,https://github.com/documentationjs/documentation
13,insin,nwb,5600,https://github.com/insin/nwb
14,thinkjs,thinkjs,5300,https://github.com/thinkjs/thinkjs
15,egoist,poi,5200,https://github.com/egoist/poi
16,thx,gogocode,5000,https://github.com/thx/gogocode
17,duxianwei520,react,4900,https://github.com/duxianwei520/react
18,ast-grep,ast-grep,4800,https://github.com/ast-grep/ast-grep
19,transitive-bullshit,create-react-library,4800,https://github.com/transitive-bullshit/create-react-library
