,username,repo_name,stars,repo_url
0,jlevy,the-art-of-command-line,143000,https://github.com/jlevy/the-art-of-command-line
1,nvm-sh,nvm,72700,https://github.com/nvm-sh/nvm
2,junegunn,fzf,56500,https://github.com/junegunn/fzf
3,google,zx,39300,https://github.com/google/zx
4,starship,starship,38300,https://github.com/starship/starship
5,LeCoupa,awesome-cheatsheets,35700,https://github.com/LeCoupa/awesome-cheatsheets
6,dylanaraps,pure-bash-bible,35400,https://github.com/dylanaraps/pure-bash-bible
7,acmesh-official,acme.sh,34600,https://github.com/acmesh-official/acme.sh
8,koalaman,shellcheck,34100,https://github.com/koalaman/shellcheck
9,alebcay,awesome-shell,29700,https://github.com/alebcay/awesome-shell
10,mathiasbynens,dotfiles,29500,https://github.com/mathiasbynens/dotfiles
11,jaywcjlove,linux-command,26700,https://github.com/jaywcjlove/linux-command
12,withfig,autocomplete,23700,https://github.com/withfig/autocomplete
13,dylanaraps,neofetch,19500,https://github.com/dylanaraps/neofetch
14,asdf-vm,asdf,19400,https://github.com/asdf-vm/asdf
15,kingToolbox,WindTerm,18200,https://github.com/kingToolbox/WindTerm
16,Nyr,openvpn-install,17900,https://github.com/Nyr/openvpn-install
17,warpdotdev,Warp,16600,https://github.com/warpdotdev/Warp
18,charmbracelet,gum,15600,https://github.com/charmbracelet/gum
19,rbenv,rbenv,15500,https://github.com/rbenv/rbenv
