,username,repo_name,stars,repo_url
0,bitcoin,bitcoin,73000,https://github.com/bitcoin/bitcoin
1,ccxt,ccxt,30000,https://github.com/ccxt/ccxt
2,freqtrade,freqtrade,23900,https://github.com/freqtrade/freqtrade
3,HelloZeroNet,ZeroNet,18100,https://github.com/HelloZeroNet/ZeroNet
4,solana-labs,solana,11000,https://github.com/solana-labs/solana
5,bbfamily,abu,10800,https://github.com/bbfamily/abu
6,askmike,gekko,10000,https://github.com/askmike/gekko
7,dvf,blockchain,7600,https://github.com/dvf/blockchain
8,lightningnetwork,lnd,7300,https://github.com/lightningnetwork/lnd
9,lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
10,spesmilo,electrum,6800,https://github.com/spesmilo/electrum
11,yeasy,blockchain_guide,6600,https://github.com/yeasy/blockchain_guide
12,butor,blackbird,5800,https://github.com/butor/blackbird
13,btcsuite,btcd,5600,https://github.com/btcsuite/btcd
14,btcpayserver,btcpayserver,5600,https://github.com/btcpayserver/btcpayserver
15,getumbrel,umbrel,5300,https://github.com/getumbrel/umbrel
16,bitcoinjs,bitcoinjs-lib,5300,https://github.com/bitcoinjs/bitcoinjs-lib
17,UFund-Me,Qbot,5100,https://github.com/UFund-Me/Qbot
18,jesse-ai,jesse,5000,https://github.com/jesse-ai/jesse
19,anders94,blockchain-demo,5000,https://github.com/anders94/blockchain-demo
