,username,repo_name,stars,repo_url
0,ccxt,ccxt,30000,https://github.com/ccxt/ccxt
1,StanGirard,quivr,26700,https://github.com/StanGirard/quivr
2,discordjs,discord.js,24400,https://github.com/discordjs/discord.js
3,python-telegram-bot,python-telegram-bot,23900,https://github.com/python-telegram-bot/python-telegram-bot
4,wechaty,wechaty,18000,https://github.com/wechaty/wechaty
5,RasaHQ,rasa,17400,https://github.com/RasaHQ/rasa
6,hubotio,hubot,16500,https://github.com/hubotio/hubot
7,InstaPy,InstaPy,16000,https://github.com/InstaPy/InstaPy
8,leon-ai,leon,14000,https://github.com/leon-ai/leon
9,Rapptz,discord.py,13900,https://github.com/Rapptz/discord.py
10,gunthercox,ChatterBot,13700,https://github.com/gunthercox/ChatterBot
11,tgbot-collection,YYeTsBot,13700,https://github.com/tgbot-collection/YYeTsBot
12,pedroslopez,whatsapp-web.js,12600,https://github.com/pedroslopez/whatsapp-web.js
13,howdyai,botkit,11300,https://github.com/howdyai/botkit
14,lss233,chatgpt-mirai-qq-bot,10800,https://github.com/lss233/chatgpt-mirai-qq-bot
15,Mrs4s,go-cqhttp,10000,https://github.com/Mrs4s/go-cqhttp
16,sfyc23,EverydayWechat,9700,https://github.com/sfyc23/EverydayWechat
17,yagop,node-telegram-bot-api,7700,https://github.com/yagop/node-telegram-bot-api
18,microsoft,ailab,7600,https://github.com/microsoft/ailab
19,telegraf,telegraf,7300,https://github.com/telegraf/telegraf
