,username,repo_name,stars,repo_url
0,CyC2018,CS-Notes,170000,https://github.com/CyC2018/CS-Notes
1,practical-tutorials,project-based-learning,146000,https://github.com/practical-tutorials/project-based-learning
2,azl397985856,leetcode,53100,https://github.com/azl397985856/leetcode
3,fffaraz,awesome-cpp,52500,https://github.com/fffaraz/awesome-cpp
4,youngyangyang04,leetcode-master,44400,https://github.com/youngyangyang04/leetcode-master
5,x64dbg,x64dbg,42300,https://github.com/x64dbg/x64dbg
6,Light-City,CPlusPlusThings,35100,https://github.com/Light-City/CPlusPlusThings
7,yuzu-emu,yuzu,32700,https://github.com/yuzu-emu/yuzu
8,carbon-language,carbon-lang,31800,https://github.com/carbon-language/carbon-lang
9,huihut,interview,31600,https://github.com/huihut/interview
10,CMU-Perceptual-Computing-Lab,openpose,29000,https://github.com/CMU-Perceptual-Computing-Lab/openpose
11,microsoft,calculator,28300,https://github.com/microsoft/calculator
12,TheAlgorithms,C-Plus-Plus,27500,https://github.com/TheAlgorithms/C-Plus-Plus
13,doocs,leetcode,26700,https://github.com/doocs/leetcode
14,changkun,modern-cpp-tutorial,22500,https://github.com/changkun/modern-cpp-tutorial
15,dragonflydb,dragonfly,22000,https://github.com/dragonflydb/dragonfly
16,ethereum,solidity,21500,https://github.com/ethereum/solidity
17,gabime,spdlog,21100,https://github.com/gabime/spdlog
18,microsoft,vcpkg,20500,https://github.com/microsoft/vcpkg
19,fmtlib,fmt,18700,https://github.com/fmtlib/fmt
