,username,repo_name,stars,repo_url
0,Genymobile,scrcpy,96300,https://github.com/Genymobile/scrcpy
1,neovim,neovim,72300,https://github.com/neovim/neovim
2,obsproject,obs-studio,53200,https://github.com/obsproject/obs-studio
3,fffaraz,awesome-cpp,52500,https://github.com/fffaraz/awesome-cpp
4,git,git,48400,https://github.com/git/git
5,FFmpeg,FFmpeg,40200,https://github.com/FFmpeg/FFmpeg
6,serhii-londar,open-source-mac-os-apps,38100,https://github.com/serhii-londar/open-source-mac-os-apps
7,vim,vim,33800,https://github.com/vim/vim
8,curl,curl,32800,https://github.com/curl/curl
9,huihut,interview,31600,https://github.com/huihut/interview
10,ggreer,the_silver_searcher,25400,https://github.com/ggreer/the_silver_searcher
11,mpv-player,mpv,24700,https://github.com/mpv-player/mpv
12,ossrs,srs,23400,https://github.com/ossrs/srs
13,google,flatbuffers,21600,https://github.com/google/flatbuffers
14,ruby,ruby,21100,https://github.com/ruby/ruby
15,kovidgoyal,kitty,20800,https://github.com/kovidgoyal/kitty
16,microsoft,vcpkg,20500,https://github.com/microsoft/vcpkg
17,radareorg,radare2,19100,https://github.com/radareorg/radare2
18,hashcat,hashcat,19000,https://github.com/hashcat/hashcat
19,jarun,nnn,17600,https://github.com/jarun/nnn
