,username,repo_name,stars,repo_url
0,iamadamdev,bypass-paywalls-chrome,44400,https://github.com/iamadamdev/bypass-paywalls-chrome
1,jaywcjlove,linux-command,26700,https://github.com/jaywcjlove/linux-command
2,refined-github,refined-github,22400,https://github.com/refined-github/refined-github
3,openai-translator,openai-translator,19600,https://github.com/openai-translator/openai-translator
4,darkreader,darkreader,18000,https://github.com/darkreader/darkreader
5,checkly,headless-recorder,14900,https://github.com/checkly/headless-recorder
6,dailydotdev,daily,14800,https://github.com/dailydotdev/daily
7,unbug,codelf,13900,https://github.com/unbug/codelf
8,wong2,chatgpt-google-extension,13300,https://github.com/wong2/chatgpt-google-extension
9,gildas-lormeau,SingleFile,12700,https://github.com/gildas-lormeau/SingleFile
10,immersive-translate,immersive-translate,12500,https://github.com/immersive-translate/immersive-translate
11,Anarios,return-youtube-dislike,12000,https://github.com/Anarios/return-youtube-dislike
12,crimx,ext-saladict,11400,https://github.com/crimx/ext-saladict
13,listen1,listen1_chrome_extension,10800,https://github.com/listen1/listen1_chrome_extension
14,josStorer,chatGPTBox,9200,https://github.com/josStorer/chatGPTBox
15,chathub-dev,chathub,9000,https://github.com/chathub-dev/chathub
16,alyssaxuu,screenity,8900,https://github.com/alyssaxuu/screenity
17,AutomaApp,automa,8800,https://github.com/AutomaApp/automa
18,appbaseio,dejavu,8300,https://github.com/appbaseio/dejavu
19,ajayyy,SponsorBlock,8200,https://github.com/ajayyy/SponsorBlock
