,username,repo_name,stars,repo_url
0,electron,electron,110000,https://github.com/electron/electron
1,puppeteer,puppeteer,85500,https://github.com/puppeteer/puppeteer
2,microsoft,playwright,57800,https://github.com/microsoft/playwright
3,iamadamdev,bypass-paywalls-chrome,44400,https://github.com/iamadamdev/bypass-paywalls-chrome
4,FiloSottile,mkcert,44000,https://github.com/FiloSottile/mkcert
5,jaywcjlove,linux-command,26700,https://github.com/jaywcjlove/linux-command
6,ovity,octotree,22600,https://github.com/ovity/octotree
7,segment-boneyard,nightmare,19500,https://github.com/segment-boneyard/nightmare
8,checkly,headless-recorder,14900,https://github.com/checkly/headless-recorder
9,google,WebFundamentals,13800,https://github.com/google/WebFundamentals
10,GoogleChrome,chrome-extensions-samples,13600,https://github.com/GoogleChrome/chrome-extensions-samples
11,schickling,chromeless,13200,https://github.com/schickling/chromeless
12,gildas-lormeau,SingleFile,12700,https://github.com/gildas-lormeau/SingleFile
13,casesandberg,react-color,11700,https://github.com/casesandberg/react-color
14,crimx,ext-saladict,11400,https://github.com/crimx/ext-saladict
15,MetaMask,metamask-extension,11000,https://github.com/MetaMask/metamask-extension
16,chromedp,chromedp,9900,https://github.com/chromedp/chromedp
17,moonD4rk,HackBrowserData,9300,https://github.com/moonD4rk/HackBrowserData
18,ajayyy,SponsorBlock,8200,https://github.com/ajayyy/SponsorBlock
19,uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
