,username,repo_name,stars,repo_url
0,metabase,metabase,35400,https://github.com/metabase/metabase
1,logseq,logseq,27400,https://github.com/logseq/logseq
2,penpot,penpot,25200,https://github.com/penpot/penpot
3,deeplearning4j,deeplearning4j,13300,https://github.com/deeplearning4j/deeplearning4j
4,LightTable,LightTable,11700,https://github.com/LightTable/LightTable
5,kanaka,mal,9700,https://github.com/kanaka/mal
6,lk-geimfari,awesomo,9100,https://github.com/lk-geimfari/awesomo
7,tonsky,datascript,5300,https://github.com/tonsky/datascript
8,reagent-project,reagent,4700,https://github.com/reagent-project/reagent
9,izhangzhihao,intellij-rainbow-brackets,4200,https://github.com/izhangzhihao/intellij-rainbow-brackets
10,riemann,riemann,4200,https://github.com/riemann/riemann
11,weavejester,compojure,4000,https://github.com/weavejester/compojure
12,bbatsov,clojure-style-guide,4000,https://github.com/bbatsov/clojure-style-guide
13,status-im,status-mobile,3800,https://github.com/status-im/status-mobile
14,ring-clojure,ring,3700,https://github.com/ring-clojure/ring
15,babashka,babashka,3700,https://github.com/babashka/babashka
16,clojure-emacs,cider,3500,https://github.com/clojure-emacs/cider
17,defold,defold,3400,https://github.com/defold/defold
18,viebel,klipse,3100,https://github.com/viebel/klipse
19,tallesl,Rich-Hickey-fanclub,3000,https://github.com/tallesl/Rich-Hickey-fanclub
