,username,repo_name,stars,repo_url
0,realm,SwiftLint,18000,https://github.com/realm/SwiftLint
1,facebook,infer,14500,https://github.com/facebook/infer
2,analysis-tools-dev,static-analysis,12400,https://github.com/analysis-tools-dev/static-analysis
3,Kristories,awesome-guidelines,9200,https://github.com/Kristories/awesome-guidelines
4,federico-busato,Modern-CPP-Programming,8400,https://github.com/federico-busato/Modern-CPP-Programming
5,SonarSource,sonarqube,8300,https://github.com/SonarSource/sonarqube
6,checkstyle,checkstyle,8000,https://github.com/checkstyle/checkstyle
7,reviewdog,reviewdog,7000,https://github.com/reviewdog/reviewdog
8,facebook,pyre-check,6600,https://github.com/facebook/pyre-check
9,detekt,detekt,5900,https://github.com/detekt/detekt
10,import-js,eslint-plugin-import,5100,https://github.com/import-js/eslint-plugin-import
11,trekhleb,state-of-the-art-shitcode,5100,https://github.com/trekhleb/state-of-the-art-shitcode
12,pylint-dev,pylint,5000,https://github.com/pylint-dev/pylint
13,simplecov-ruby,simplecov,4700,https://github.com/simplecov-ruby/simplecov
14,pmd,pmd,4500,https://github.com/pmd/pmd
15,phpro,grumphp,4000,https://github.com/phpro/grumphp
16,kucherenko,jscpd,3300,https://github.com/kucherenko/jscpd
17,htmlhint,HTMLHint,3000,https://github.com/htmlhint/HTMLHint
18,codeclimate,codeclimate,2400,https://github.com/codeclimate/codeclimate
19,wemake-services,wemake-python-styleguide,2300,https://github.com/wemake-services/wemake-python-styleguide
