,username,repo_name,stars,repo_url
0,ovity,octotree,22600,https://github.com/ovity/octotree
1,gitpod-io,gitpod,11900,https://github.com/gitpod-io/gitpod
2,reviewdog,reviewdog,7000,https://github.com/reviewdog/reviewdog
3,danger,danger,5300,https://github.com/danger/danger
4,danger,danger-js,5100,https://github.com/danger/danger-js
5,joho,awesome-code-review,4100,https://github.com/joho/awesome-code-review
6,Codium-ai,pr-agent,3000,https://github.com/Codium-ai/pr-agent
7,ajinabraham,nodejsscan,2300,https://github.com/ajinabraham/nodejsscan
8,microsoft,vscode-pull-request-github,2100,https://github.com/microsoft/vscode-pull-request-github
9,crev-dev,cargo-crev,2000,https://github.com/crev-dev/cargo-crev
10,houndci,hound,1900,https://github.com/houndci/hound
11,mbj,mutant,1900,https://github.com/mbj/mutant
12,Tencent,CodeAnalysis,1500,https://github.com/Tencent/CodeAnalysis
13,reviewboard,reviewboard,1500,https://github.com/reviewboard/reviewboard
14,ryanmcdermott,code-review-tips,1400,https://github.com/ryanmcdermott/code-review-tips
15,bit4woo,python_sec,1300,https://github.com/bit4woo/python_sec
16,code-review-checklists,java-concurrency,1200,https://github.com/code-review-checklists/java-concurrency
17,coderabbitai,ai-pr-reviewer,1100,https://github.com/coderabbitai/ai-pr-reviewer
18,mattzcarey,code-review-gpt,1100,https://github.com/mattzcarey/code-review-gpt
19,TeamCodeStream,codestream,912,https://github.com/TeamCodeStream/codestream
