,username,repo_name,stars,repo_url
0,ohmyzsh,ohmyzsh,166000,https://github.com/ohmyzsh/ohmyzsh
1,junegunn,fzf,56500,https://github.com/junegunn/fzf
2,sherlock-project,sherlock,46000,https://github.com/sherlock-project/sherlock
3,sharkdp,bat,44500,https://github.com/sharkdp/bat
4,BurntSushi,ripgrep,42300,https://github.com/BurntSushi/ripgrep
5,jesseduffield,lazygit,41200,https://github.com/jesseduffield/lazygit
6,wagoodman,dive,40000,https://github.com/wagoodman/dive
7,google,zx,39300,https://github.com/google/zx
8,chubin,cheat.sh,36800,https://github.com/chubin/cheat.sh
9,n8n-io,n8n,36500,https://github.com/n8n-io/n8n
10,spf13,cobra,34700,https://github.com/spf13/cobra
11,cli,cli,34200,https://github.com/cli/cli
12,httpie,cli,30600,https://github.com/httpie/cli
13,sharkdp,fd,30100,https://github.com/sharkdp/fd
14,alebcay,awesome-shell,29700,https://github.com/alebcay/awesome-shell
15,ibraheemdev,modern-unix,28900,https://github.com/ibraheemdev/modern-unix
16,acheong08,ChatGPT,27700,https://github.com/acheong08/ChatGPT
17,tqdm,tqdm,26700,https://github.com/tqdm/tqdm
18,angular,angular-cli,26400,https://github.com/angular/angular-cli
19,google,python-fire,25700,https://github.com/google/python-fire
