,username,repo_name,stars,repo_url
0,vercel,next.js,116000,https://github.com/vercel/next.js
1,rust-lang,rust,88500,https://github.com/rust-lang/rust
2,sveltejs,svelte,74700,https://github.com/sveltejs/svelte
3,webpack,webpack,63800,https://github.com/webpack/webpack
4,gatsbyjs,gatsby,54900,https://github.com/gatsbyjs/gatsby
5,JetBrains,kotlin,46600,https://github.com/JetBrains/kotlin
6,parcel-bundler,parcel,42900,https://github.com/parcel-bundler/parcel
7,babel,babel,42700,https://github.com/babel/babel
8,FuelLabs,sway,39400,https://github.com/FuelLabs/sway
9,evanw,esbuild,36600,https://github.com/evanw/esbuild
10,vlang,v,35000,https://github.com/vlang/v
11,carbon-language,carbon-lang,31800,https://github.com/carbon-language/carbon-lang
12,markedjs,marked,31100,https://github.com/markedjs/marked
13,swc-project,swc,29200,https://github.com/swc-project/swc
14,ziglang,zig,27800,https://github.com/ziglang/zig
15,typst,typst,24600,https://github.com/typst/typst
16,vercel,pkg,24100,https://github.com/vercel/pkg
17,v8,v8,22100,https://github.com/v8/v8
18,oracle,graal,19400,https://github.com/oracle/graal
19,AssemblyScript,assemblyscript,16200,https://github.com/AssemblyScript/assemblyscript
