,username,repo_name,stars,repo_url
0,localstack,localstack,50700,https://github.com/localstack/localstack
1,harness,gitness,30900,https://github.com/harness/gitness
2,jenkinsci,jenkins,21800,https://github.com/jenkinsci/jenkins
3,auchenberg,volkswagen,12800,https://github.com/auchenberg/volkswagen
4,dagger,dagger,9400,https://github.com/dagger/dagger
5,openshift,origin,8400,https://github.com/openshift/origin
6,concourse,concourse,7100,https://github.com/concourse/concourse
7,gocd,gocd,6900,https://github.com/gocd/gocd
8,milanm,DevOps-Roadmap,6800,https://github.com/milanm/DevOps-Roadmap
9,gaia-pipeline,gaia,5100,https://github.com/gaia-pipeline/gaia
10,buildbot,buildbot,5100,https://github.com/buildbot/buildbot
11,Strider-CD,strider,4600,https://github.com/Strider-CD/strider
12,jenkins-x,jx,4500,https://github.com/jenkins-x/jx
13,ovh,cds,4400,https://github.com/ovh/cds
14,JamesIves,github-pages-deploy-action,4000,https://github.com/JamesIves/github-pages-deploy-action
15,iterative,cml,3900,https://github.com/iterative/cml
16,xcpretty,xcpretty,3900,https://github.com/xcpretty/xcpretty
17,werf,werf,3800,https://github.com/werf/werf
18,TheLartians,ModernCppStarter,3800,https://github.com/TheLartians/ModernCppStarter
19,hygieia,hygieia,3800,https://github.com/hygieia/hygieia
